Location,Mayaguez,Hormigueros,Caborojo,Aguadilla,Lares,Quebradillas,Ponce,Utuado,Juanadiaz,Ciales,Vegabaja,Corozal,Arecibo,Yabucoa,Caguas,Humacao,Fajardo,Sanjuan
Mayaguez,0,9.5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hormigueros,9.5,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caborojo,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguadilla,28,0,0,0,38.4,27.8,0,0,0,0,0,0,0,0,0,0,0,0
Lares,0,0,0,38.4,0,0,0,0,0,0,0,0,34.1,0,0,0,0,0
Quebradillas,0,0,0,27.8,0,0,0,0,0,0,0,0,33.6,0,0,0,0,0
Ponce,0,65.8,0,0,0,0,0,45.9,14.9,0,0,0,0,0,0,0,0,0
Utuado,0,0,0,0,0,0,45.9,0,0,0,0,0,34.1,0,0,0,0,0
Juanadiaz,0,0,0,0,0,0,14.9,0,0,50.1,0,0,0,87.4,75.8,0,0,0
Ciales,0,0,0,0,0,0,0,0,50.1,0,20.3,0,0,0,0,0,0,0
Vegabaja,0,0,0,0,0,0,0,0,0,20.3,0,22.1,33.1,0,0,0,0,42.7
Corozal,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0,38.5
Arecibo,0,0,0,0,34.1,33.6,0,34.1,0,0,33.1,0,0,0,0,0,0,0
Yabucoa,0,0,0,0,0,0,0,0,87.4,0,0,0,0,0,0,15.4,0,0
Caguas,0,0,0,0,0,0,0,0,75.8,0,0,0,0,0,0,30.8,0,31.2
Humacao,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,30.8,0,35.5,0
Fajardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,0,59
Sanjuan,0,0,0,0,0,0,0,0,0,0,42.7,38.5,0,0,31.2,0,59,0
